Sample Nr	Sample ID	R.FileName
153	XCHEJF_155	XCHEJF1-254_20250729_plasma_S155_250ng_41p5min_DIA_r1.raw
154	XCHEJF_156	XCHEJF1-254_20250729_plasma_S156_250ng_41p5min_DIA_r1.raw
155	XCHEJF_157	XCHEJF1-254_20250729_plasma_S157_250ng_41p5min_DIA_r1.raw
156	XCHEJF_158	XCHEJF1-254_20250729_plasma_S158_250ng_41p5min_DIA_r1.raw
157	XCHEJF_159	XCHEJF1-254_20250729_plasma_S159_250ng_41p5min_DIA_r1.raw
158	XCHEJF_160	XCHEJF1-254_20250729_plasma_S160_250ng_41p5min_DIA_r1.raw
159	XCHEJF_161	XCHEJF1-254_20250729_plasma_S161_250ng_41p5min_DIA_r1.raw
160	XCHEJF_162	XCHEJF1-254_20250729_plasma_S162_250ng_41p5min_DIA_r1.raw
161	XCHEJF_163	XCHEJF1-254_20250729_plasma_S163_250ng_41p5min_DIA_r1.raw
162	XCHEJF_164	XCHEJF1-254_20250729_plasma_S164_250ng_41p5min_DIA_r1.raw
163	XCHEJF_165	XCHEJF1-254_20250729_plasma_S165_250ng_41p5min_DIA_r1.raw
164	XCHEJF_166	XCHEJF1-254_20250729_plasma_S166_250ng_41p5min_DIA_r1.raw
165	XCHEJF_167	XCHEJF1-254_20250729_plasma_S167_250ng_41p5min_DIA_r1.raw
166	XCHEJF_168	XCHEJF1-254_20250729_plasma_S168_250ng_41p5min_DIA_r1.raw
167	XCHEJF_169	XCHEJF1-254_20250729_plasma_S169_250ng_41p5min_DIA_r1.raw
168	XCHEJF_170	XCHEJF1-254_20250729_plasma_S170_250ng_41p5min_DIA_r1.raw
169	XCHEJF_171	XCHEJF1-254_20250729_plasma_S171_250ng_41p5min_DIA_r1.raw
170	XCHEJF_172	XCHEJF1-254_20250729_plasma_S172_250ng_41p5min_DIA_r1.raw
171	XCHEJF_173	XCHEJF1-254_20250729_plasma_S173_250ng_41p5min_DIA_r1.raw
172	XCHEJF_175	XCHEJF1-254_20250729_plasma_S175_250ng_41p5min_DIA_r1.raw
173	XCHEJF_176	XCHEJF1-254_20250729_plasma_S176_250ng_41p5min_DIA_r1.raw
174	XCHEJF_177	XCHEJF1-254_20250729_plasma_S177_250ng_41p5min_DIA_r1.raw
175	XCHEJF_178	XCHEJF1-254_20250729_plasma_S178_250ng_41p5min_DIA_r1.raw
176	XCHEJF_179	XCHEJF1-254_20250729_plasma_S179_250ng_41p5min_DIA_r1.raw
177	XCHEJF_180	XCHEJF1-254_20250729_plasma_S180_250ng_41p5min_DIA_r1.raw
178	XCHEJF_181	XCHEJF1-254_20250729_plasma_S181_250ng_41p5min_DIA_r1.raw
179	XCHEJF_182	XCHEJF1-254_20250729_plasma_S182_250ng_41p5min_DIA_r1.raw
180	XCHEJF_183	XCHEJF1-254_20250729_plasma_S183_250ng_41p5min_DIA_r1.raw
181	XCHEJF_184	XCHEJF1-254_20250729_plasma_S184_250ng_41p5min_DIA_r1.raw
182	XCHEJF_185	XCHEJF1-254_20250729_plasma_S185_250ng_41p5min_DIA_r1.raw
183	XCHEJF_186	XCHEJF1-254_20250729_plasma_S186_250ng_41p5min_DIA_r1.raw
184	XCHEJF_187	XCHEJF1-254_20250729_plasma_S187_250ng_41p5min_DIA_r1.raw
185	XCHEJF_188	XCHEJF1-254_20250729_plasma_S188_250ng_41p5min_DIA_r1.raw
186	XCHEJF_189	XCHEJF1-254_20250729_plasma_S189_250ng_41p5min_DIA_r1.raw
187	XCHEJF_190	XCHEJF1-254_20250729_plasma_S190_250ng_41p5min_DIA_r1.raw
188	XCHEJF_191	XCHEJF1-254_20250729_plasma_S191_250ng_41p5min_DIA_r1.raw
189	XCHEJF_192	XCHEJF1-254_20250729_plasma_S192_250ng_41p5min_DIA_r1.raw
190	XCHEJF_193	XCHEJF1-254_20250729_plasma_S193_250ng_41p5min_DIA_r1.raw
191	XCHEJF_194	XCHEJF1-254_20250729_plasma_S194_250ng_41p5min_DIA_r1.raw
192	XCHEJF_195	XCHEJF1-254_20250729_plasma_S195_250ng_41p5min_DIA_r1.raw
193	XCHEJF_196	XCHEJF1-254_20250729_plasma_S196_250ng_41p5min_DIA_r1.raw
194	XCHEJF_197	XCHEJF1-254_20250729_plasma_S197_250ng_41p5min_DIA_r1.raw
195	XCHEJF_198	XCHEJF1-254_20250729_plasma_S198_250ng_41p5min_DIA_r1.raw
196	XCHEJF_199	XCHEJF1-254_20250729_plasma_S199_250ng_41p5min_DIA_r1.raw
197	XCHEJF_200	XCHEJF1-254_20250729_plasma_S200_250ng_41p5min_DIA_r1.raw
198	XCHEJF_201	XCHEJF1-254_20250729_plasma_S201_250ng_41p5min_DIA_r1.raw
199	XCHEJF_202	XCHEJF1-254_20250729_plasma_S202_250ng_41p5min_DIA_r1.raw
200	XCHEJF_203	XCHEJF1-254_20250729_plasma_S203_250ng_41p5min_DIA_r1.raw
201	XCHEJF_204	XCHEJF1-254_20250729_plasma_S204_250ng_41p5min_DIA_r1.raw
202	XCHEJF_205	XCHEJF1-254_20250729_plasma_S205_250ng_41p5min_DIA_r1.raw
203	XCHEJF_206	XCHEJF1-254_20250729_plasma_S206_250ng_41p5min_DIA_r1.raw
204	XCHEJF_207	XCHEJF1-254_20250729_plasma_S207_250ng_41p5min_DIA_r2.raw
205	XCHEJF_208	XCHEJF1-254_20250729_plasma_S208_250ng_41p5min_DIA_r3.raw
206	XCHEJF_209	XCHEJF1-254_20250729_plasma_S209_250ng_41p5min_DIA_r1.raw
207	XCHEJF_210	XCHEJF1-254_20250729_plasma_S210_250ng_41p5min_DIA_r1.raw
208	XCHEJF_211	XCHEJF1-254_20250729_plasma_S211_250ng_41p5min_DIA_r1.raw
209	XCHEJF_212	XCHEJF1-254_20250729_plasma_S212_250ng_41p5min_DIA_r1.raw
210	XCHEJF_213	XCHEJF1-254_20250729_plasma_S213_250ng_41p5min_DIA_r1.raw
211	XCHEJF_214	XCHEJF1-254_20250729_plasma_S214_250ng_41p5min_DIA_r1.raw
212	XCHEJF_215	XCHEJF1-254_20250729_plasma_S215_250ng_41p5min_DIA_r1.raw
213	XCHEJF_216	XCHEJF1-254_20250729_plasma_S216_250ng_41p5min_DIA_r1.raw
214	XCHEJF_217	XCHEJF1-254_20250729_plasma_S217_250ng_41p5min_DIA_r1.raw
215	XCHEJF_218	XCHEJF1-254_20250729_plasma_S218_250ng_41p5min_DIA_r1.raw
216	XCHEJF_219	XCHEJF1-254_20250729_plasma_S219_250ng_41p5min_DIA_r1.raw
217	XCHEJF_220	XCHEJF1-254_20250729_plasma_S220_250ng_41p5min_DIA_r1.raw
218	XCHEJF_221	XCHEJF1-254_20250729_plasma_S221_250ng_41p5min_DIA_r1.raw
219	XCHEJF_222	XCHEJF1-254_20250729_plasma_S222_250ng_41p5min_DIA_r1.raw
220	XCHEJF_223	XCHEJF1-254_20250729_plasma_S223_250ng_41p5min_DIA_r1.raw
221	XCHEJF_224	XCHEJF1-254_20250729_plasma_S224_250ng_41p5min_DIA_r1.raw
222	XCHEJF_225	XCHEJF1-254_20250729_plasma_S225_250ng_41p5min_DIA_r1.raw
223	XCHEJF_226	XCHEJF1-254_20250729_plasma_S226_250ng_41p5min_DIA_r1.raw
224	XCHEJF_227	XCHEJF1-254_20250729_plasma_S227_250ng_41p5min_DIA_r1.raw
225	XCHEJF_228	XCHEJF1-254_20250729_plasma_S228_250ng_41p5min_DIA_r1.raw
226	XCHEJF_229	XCHEJF1-254_20250729_plasma_S229_250ng_41p5min_DIA_r1.raw
227	XCHEJF_230	XCHEJF1-254_20250729_plasma_S230_250ng_41p5min_DIA_r1.raw
228	XCHEJF_231	XCHEJF1-254_20250729_plasma_S231_250ng_41p5min_DIA_r1.raw
229	XCHEJF_232	XCHEJF1-254_20250729_plasma_S232_250ng_41p5min_DIA_r1.raw
230	XCHEJF_234	XCHEJF1-254_20250729_plasma_S234_250ng_41p5min_DIA_r1.raw
231	XCHEJF_235	XCHEJF1-254_20250729_plasma_S235_250ng_41p5min_DIA_r1.raw
232	XCHEJF_237	XCHEJF1-254_20250729_plasma_S237_250ng_41p5min_DIA_r1.raw
233	XCHEJF_238	XCHEJF1-254_20250729_plasma_S238_250ng_41p5min_DIA_r1.raw
234	XCHEJF_239	XCHEJF1-254_20250729_plasma_S239_250ng_41p5min_DIA_r1.raw
235	XCHEJF_240	XCHEJF1-254_20250729_plasma_S240_250ng_41p5min_DIA_r1.raw
236	XCHEJF_242	XCHEJF1-254_20250729_plasma_S242_250ng_41p5min_DIA_r1.raw
237	XCHEJF_246	XCHEJF1-254_20250729_plasma_S246_250ng_41p5min_DIA_r1.raw
238	XCHEJF_247	XCHEJF1-254_20250729_plasma_S247_250ng_41p5min_DIA_r1.raw
239	XCHEJF_248	XCHEJF1-254_20250729_plasma_S248_250ng_41p5min_DIA_r1.raw
240	XCHEJF_249	XCHEJF1-254_20250729_plasma_S249_250ng_41p5min_DIA_r1.raw
241	XCHEJF_250	XCHEJF1-254_20250729_plasma_S250_250ng_41p5min_DIA_r1.raw
242	XCHEJF_251	XCHEJF1-254_20250729_plasma_S251_250ng_41p5min_DIA_r1.raw
243	XCHEJF_252	XCHEJF1-254_20250729_plasma_S252_250ng_41p5min_DIA_r1.raw
244	XCHEJF_253	XCHEJF1-254_20250729_plasma_S253_250ng_41p5min_DIA_r1.raw
245	XCHEJF_059	XCHEJF1-254_20250824_plasma_S059_250ng_41p5min_DIA_r2.raw
246	XCHEJF_098	XCHEJF1-254_20250824_plasma_S098_250ng_41p5min_DIA_r2.raw
247	XCHEJF_174	XCHEJF1-254_20250824_plasma_S174_250ng_41p5min_DIA_r2.raw
248	XCHEJF_233	XCHEJF1-254_20250824_plasma_S233_250ng_41p5min_DIA_r2.raw
249	XCHEJF_236	XCHEJF1-254_20250824_plasma_S236_250ng_41p5min_DIA_r2.raw
250	XCHEJF_241	XCHEJF1-254_20250824_plasma_S241_250ng_41p5min_DIA_r2.raw
251	XCHEJF_243	XCHEJF1-254_20250824_plasma_S243_250ng_41p5min_DIA_r2.raw
252	XCHEJF_244	XCHEJF1-254_20250824_plasma_S244_250ng_41p5min_DIA_r2.raw
253	XCHEJF_245	XCHEJF1-254_20250824_plasma_S245_250ng_41p5min_DIA_r2.raw
254	XCHEJF_254	XCHEJF1-254_20250824_plasma_S254_250ng_41p5min_DIA_r2.raw
